Category-Group,SUBCATEGORIES
Identity Management,Access Control
"Governance, Risk, and Compliance",Aerospace & Defense Cybersecurity
Identity Management,Anti-phishing and Simulated Phishing
"Governance, Risk, and Compliance",Antivirus
Application Security,API Security
Application Security,Application Performance Monitoring and Observability
Application Security,Application Security Posture Management (ASPM)
Application Security,Application Security Testing (AST)
Application Security,Application Security Orchestration and Correlation (ASOC)
Identity Management,Authentication
Identity Management,Authentication Policy Management
Identity Management,Authorization
Security Analytics,Automated Moving Target Defense (AMTD)
Identity Management,Automated Penetration Testing
Security Analytics,Automated Security Control Assessment (ASCA)
"Governance, Risk, and Compliance",Automotive and Autonomous Vehicle Security
"Governance, Risk, and Compliance",Bot Detection & Mitigation
"Governance, Risk, and Compliance",Breach and Attack Simulation (BAS)
Cloud Security,Cloud Access Security Broker (CASB)
Cloud Security,Cloud Change Management
Cloud Security,Cloud Native Application Protection Platforms (CNAPP)
Cloud Security,Cloud Security
Cloud Security,Cloud Security Posture Management (CSPM)
"Governance, Risk, and Compliance",Compliance Management
"Governance, Risk, and Compliance",Configuration Management
Security Awareness & Training,Container Security
Application Security,Content Platforms
Security Awareness & Training,Continuous Threat Exposure Management (CTEM)
Application Security,Cross-Site Request Forgery (CSRF) Prevention
Application Security,Cross-Site Scripting (XSS) Prevention
Application Security,Cyber Asset Attack Surface Management (CAASM)
Operations,Cyber Insurance
Security Awareness & Training,Cyber Range
Security Awareness & Training,Cyber Risk Quantification
Security Awareness & Training,Cybersecurity Education & Training
Network Security,Cybersecurity Mesh Architecture (CSMA)
Data Security,Data Intelligence
Data Security,Data Protection
Data Security,Data Security Posture Management (DSPM)
Security Analytics,DDoS Mitigation
Application Security,Deception Platform
Cloud Security,DevOps Platform
Cloud Security,DevSecOps Platform
Cloud Security,Digital Asset Wallet
Identity Management,Digital Rights Management (DRM)
Email Security,Email Security Software
Data Security,Encryption Key Management System (EKMS)
Endpoint Security,Endpoint Detection and Response (EDR)
Endpoint Security,Endpoint Protection Platform (EPP)
Network Security,Enterprise Browser Security
Email Security,Enterprise Email Security
Identity Management,Error Handling and Logging
Identity Management,"Event, Fault And Log Management"
Security Analytics,Extended Detection and Response (XDR)
Security Analytics,External Attack Surface Management (EASM)
Network Security,External Threats
Network Security,Firewall Management
Application Security,Firmware Protection
Security Analytics,Forensic and Incident Response
Data Security,Fraud and Financial Crime Protection
Data Security,Fraud Prevention
"Governance, Risk, and Compliance","Governance, Risk, and Compliance (GRC)"
Endpoint Security,Hardware Intelligence
Cloud Security,Host-Based Intrusion Detection Systems (HIDS)
Security Awareness & Training,Human Risk Management
Identity Management,Identity and Access Management (IAM)
Security Analytics,Identity Threat and Detection Response (ITDR)
Security Analytics,Identity Verification
Endpoint Security,Incident Response
Endpoint Security,Industrial Controls Systems (ICS) Security
IoT & OT Security,Industrial IoT Security
IoT & OT Security,Infrastructure as Code (IaC) Scanning
Cloud Security,Infrastructure Automation
Security Analytics,Infrastructure Monitoring
Security Analytics,Input Validation
Security Awareness & Training,Internal Threats
Network Security,Intrusion Detection and Prevention Systems (IDPS)
Security Awareness & Training,Intrusion Prevention System (IPS)
IoT & OT Security,IoT Security
